ID,name,full_name,nationality,league,club,age,birth_date,height_cm,weight_kg,eur_value,eur_wage
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,Portugal,Spanish Primera División,Real Madrid CF,32,1985-02-05,185.0,80.0,95500000.0,565000.0
158023,L. Messi,Lionel Messi,Argentina,Spanish Primera División,FC Barcelona,30,1987-06-24,170.0,72.0,105000000.0,565000.0
190871,Neymar,Neymar da Silva Santos Jr.,Brazil,French Ligue 1,Paris Saint-Germain,25,1992-02-05,175.0,68.0,123000000.0,280000.0
176580,L. Suárez,Luis Suárez,Uruguay,Spanish Primera División,FC Barcelona,30,1987-01-24,182.0,86.0,97000000.0,510000.0
167495,M. Neuer,Manuel Neuer,Germany,German Bundesliga,FC Bayern Munich,31,1986-03-27,193.0,92.0,61000000.0,230000.0
188545,R. Lewandowski,Robert Lewandowski,Poland,German Bundesliga,FC Bayern Munich,28,1988-08-21,185.0,79.0,92000000.0,355000.0
193080,De Gea,David De Gea Quintana,Spain,English Premier League,Manchester United,26,1990-11-07,193.0,76.0,64500000.0,215000.0
183277,E. Hazard,Eden Hazard,Belgium,English Premier League,Chelsea,26,1991-01-07,173.0,76.0,90500000.0,295000.0
182521,T. Kroos,Toni Kroos,Germany,Spanish Primera División,Real Madrid CF,27,1990-01-04,182.0,78.0,79000000.0,340000.0
167664,G. Higuaín,Gonzalo Higuaín,Argentina,Italian Serie A,Juventus,29,1987-12-10,184.0,87.0,77000000.0,275000.0
155862,Sergio Ramos,Sergio Ramos García,Spain,Spanish Primera División,Real Madrid CF,31,1986-03-30,183.0,75.0,52000000.0,310000.0
192985,K. De Bruyne,Kevin De Bruyne,Belgium,English Premier League,Manchester City,26,1991-06-28,181.0,68.0,83000000.0,285000.0
192119,T. Courtois,Thibaut Courtois,Belgium,English Premier League,Chelsea,25,1992-05-11,199.0,94.0,59000000.0,190000.0
184941,A. Sánchez,Alexis Sánchez,Chile,English Premier League,Arsenal,28,1988-12-19,169.0,62.0,67500000.0,265000.0
177003,L. Modrić,Luka Modrić,Croatia,Spanish Primera División,Real Madrid CF,31,1985-09-09,174.0,65.0,57000000.0,340000.0
173731,G. Bale,Gareth Bale,Wales,Spanish Primera División,Real Madrid CF,27,1989-07-16,183.0,74.0,69500000.0,370000.0
153079,S. Agüero,Sergio Agüero,Argentina,English Premier League,Manchester City,29,1988-06-02,173.0,70.0,66500000.0,325000.0
138956,G. Chiellini,Giorgio Chiellini,Italy,Italian Serie A,Juventus,32,1984-08-14,187.0,85.0,38000000.0,225000.0
1179,G. Buffon,Gianluigi Buffon,Italy,Italian Serie A,Juventus,39,1978-01-28,191.0,94.0,4500000.0,110000.0
211110,P. Dybala,Paulo Dybala,Argentina,Italian Serie A,Juventus,23,1993-11-15,177.0,73.0,79000000.0,215000.0
200389,J. Oblak,Jan Oblak,Slovenia,Spanish Primera División,Atlético Madrid,24,1993-01-07,189.0,82.0,57000000.0,82000.0
194765,A. Griezmann,Antoine Griezmann,France,Spanish Primera División,Atlético Madrid,26,1991-03-21,174.0,72.0,75000000.0,150000.0
189509,Thiago,Thiago Alcântara,Spain,German Bundesliga,FC Bayern Munich,26,1991-04-11,174.0,70.0,70500000.0,225000.0
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Gabon,German Bundesliga,Borussia Dortmund,28,1989-06-18,187.0,80.0,61000000.0,165000.0
184344,L. Bonucci,Leonardo Bonucci,Italy,Italian Serie A,Milan,30,1987-05-01,190.0,85.0,44000000.0,210000.0
183907,J. Boateng,Jérôme Boateng,Germany,German Bundesliga,FC Bayern Munich,28,1988-09-03,192.0,90.0,48000000.0,215000.0
182493,D. Godín,Diego Godín,Uruguay,Spanish Primera División,Atlético Madrid,31,1986-02-16,186.0,78.0,40000000.0,125000.0
178603,M. Hummels,Mats Hummels,Germany,German Bundesliga,FC Bayern Munich,28,1988-12-16,191.0,92.0,48000000.0,215000.0
176635,M. Özil,Mesut Özil,Germany,English Premier League,Arsenal,28,1988-10-15,180.0,76.0,60000000.0,265000.0
167948,H. Lloris,Hugo Lloris,France,English Premier League,Tottenham Hotspur,30,1986-12-26,188.0,82.0,38000000.0,165000.0
164240,Thiago Silva,Thiago Emiliano da Silva,Brazil,French Ligue 1,Paris Saint-Germain,32,1984-09-22,183.0,79.0,34000000.0,175000.0
41236,Z. Ibrahimović,Zlatan Ibrahimović,Sweden,English Premier League,Manchester United,35,1981-10-03,195.0,95.0,27000000.0,240000.0
9014,A. Robben,Arjen Robben,Netherlands,German Bundesliga,FC Bayern Munich,33,1984-01-23,180.0,80.0,36000000.0,225000.0
215914,N. Kanté,N'Golo Kanté,France,English Premier League,Chelsea,26,1991-03-29,168.0,68.0,52500000.0,190000.0
199556,M. Verratti,Marco Verratti,Italy,French Ligue 1,Paris Saint-Germain,24,1992-11-05,165.0,60.0,64500000.0,130000.0
195864,P. Pogba,Paul Pogba,France,English Premier League,Manchester United,24,1993-03-15,191.0,84.0,66500000.0,195000.0
190460,C. Eriksen,Christian Eriksen,Denmark,English Premier League,Tottenham Hotspur,25,1992-02-14,182.0,76.0,65000000.0,165000.0
181872,A. Vidal,Arturo Vidal,Chile,German Bundesliga,FC Bayern Munich,30,1987-05-22,180.0,75.0,37500000.0,160000.0
179813,E. Cavani,Edinson Cavani,Uruguay,French Ligue 1,Paris Saint-Germain,30,1987-02-14,184.0,71.0,48500000.0,160000.0
176676,Marcelo,Marcelo Vieira da Silva,Brazil,Spanish Primera División,Real Madrid CF,29,1988-05-12,174.0,75.0,38000000.0,250000.0
171877,M. Hamšík,Marek Hamšík,Slovakia,Italian Serie A,Napoli,29,1987-07-27,183.0,79.0,48500000.0,130000.0
168651,I. Rakitić,Ivan Rakitić,Croatia,Spanish Primera División,FC Barcelona,29,1988-03-10,184.0,78.0,48500000.0,275000.0
168542,David Silva,David Josué Jiménez Silva,Spain,English Premier League,Manchester City,31,1986-01-08,173.0,67.0,44000000.0,220000.0
162835,S. Handanovič,Samir Handanovič,Slovenia,Italian Serie A,Inter,32,1984-07-14,193.0,92.0,29000000.0,91000.0
152729,Piqué,Gerard Piqué Bernabeu,Spain,Spanish Primera División,FC Barcelona,30,1987-02-02,194.0,85.0,37500000.0,240000.0
41,Iniesta,Andrés Iniesta Luján,Spain,Spanish Primera División,FC Barcelona,33,1984-05-11,171.0,68.0,29500000.0,260000.0
202126,H. Kane,Harry Kane,England,English Premier League,Tottenham Hotspur,23,1993-07-28,188.0,86.0,59000000.0,165000.0
198710,J. Rodríguez,James Rodríguez,Colombia,German Bundesliga,FC Bayern Munich,25,1991-07-12,180.0,75.0,56000000.0,250000.0
197781,Isco,Francisco Román Alarcón Suárez,Spain,Spanish Primera División,Real Madrid CF,25,1992-04-21,176.0,74.0,56500000.0,250000.0
197445,D. Alaba,David Alaba,Austria,German Bundesliga,FC Bayern Munich,25,1992-06-24,180.0,76.0,44500000.0,150000.0
192505,R. Lukaku,Romelu Lukaku,Belgium,English Premier League,Manchester United,24,1993-05-13,190.0,94.0,59000000.0,210000.0
191043,Alex Sandro,Alex Sandro Lobo Silva,Brazil,Italian Serie A,Juventus,26,1991-01-26,181.0,81.0,44000000.0,175000.0
189596,T. Müller,Thomas Müller,Germany,German Bundesliga,FC Bayern Munich,27,1989-09-13,186.0,75.0,47500000.0,190000.0
189511,Sergio Busquets,Sergio Busquets Burgos,Spain,Spanish Primera División,FC Barcelona,28,1988-07-16,189.0,76.0,36000000.0,250000.0
189242,Coutinho,Philippe Coutinho Correia,Brazil,English Premier League,Liverpool,25,1992-06-12,171.0,71.0,56000000.0,205000.0
188350,M. Reus,Marco Reus,Germany,German Bundesliga,Borussia Dortmund,28,1989-05-31,180.0,75.0,45000000.0,120000.0
184087,T. Alderweireld,Toby Alderweireld,Belgium,English Premier League,Tottenham Hotspur,28,1989-03-02,187.0,91.0,40500000.0,165000.0
179944,David Luiz,David Luiz Moreira Marinho,Brazil,English Premier League,Chelsea,30,1987-04-22,189.0,84.0,33000000.0,190000.0
179844,Diego Costa,Diego da Silva Costa,Spain,English Premier League,Chelsea,28,1988-10-07,186.0,87.0,46000000.0,235000.0
178518,R. Nainggolan,Radja Nainggolan,Belgium,Italian Serie A,Roma,29,1988-05-04,176.0,77.0,42500000.0,130000.0
177610,Javi Martínez,Javier Martínez Aginaga,Spain,German Bundesliga,FC Bayern Munich,28,1988-09-02,190.0,81.0,36000000.0,165000.0
175943,D. Mertens,Dries Mertens,Belgium,Italian Serie A,Napoli,30,1987-05-06,169.0,61.0,43000000.0,135000.0
172879,Sokratis,Sokratis Papastathopoulos,Greece,German Bundesliga,Borussia Dortmund,29,1988-06-09,186.0,85.0,34500000.0,110000.0
168609,Miranda,João Miranda de Souza Filho,Brazil,Italian Serie A,Inter,32,1984-09-07,186.0,78.0,25500000.0,115000.0
165153,K. Benzema,Karim Benzema,France,Spanish Primera División,Real Madrid CF,29,1987-12-19,187.0,79.0,44500000.0,295000.0
162895,Cesc Fàbregas,Francesc Fàbregas i Soler,Spain,English Premier League,Chelsea,30,1987-05-04,180.0,77.0,41000000.0,210000.0
156616,F. Ribéry,Franck Ribéry,France,German Bundesliga,FC Bayern Munich,34,1983-04-07,170.0,72.0,22500000.0,175000.0
120533,Pepe,Képler Laveran Lima Ferreira,Portugal,Turkish Süper Lig,Beşiktaş JK,34,1983-02-26,188.0,81.0,13500000.0,94000.0
48940,P. Čech,Petr Čech,Czech Republic,English Premier League,Arsenal,35,1982-05-20,196.0,90.0,10500000.0,92000.0
208418,Y. Carrasco,Yannick Carrasco,Belgium,Spanish Primera División,Atlético Madrid,23,1993-09-04,180.0,67.0,51500000.0,77000.0
201535,R. Varane,Raphaël Varane,France,Spanish Primera División,Real Madrid CF,24,1993-04-25,191.0,78.0,46500000.0,175000.0
201153,Morata,Álvaro Borja Morata Martín,Spain,English Premier League,Chelsea,24,1992-10-23,189.0,85.0,51000000.0,170000.0
200145,Casemiro,Carlos Henrique Venancio Casimiro,Brazil,Spanish Primera División,Real Madrid CF,25,1992-02-23,184.0,80.0,42000000.0,195000.0
198219,L. Insigne,Lorenzo Insigne,Italy,Italian Serie A,Napoli,26,1991-06-04,163.0,59.0,45000000.0,115000.0
193747,Koke,Jorge Resurrección,Spain,Spanish Primera División,Atlético Madrid,25,1992-01-08,178.0,74.0,47500000.0,84000.0
193301,A. Lacazette,Alexandre Lacazette,France,English Premier League,Arsenal,26,1991-05-28,175.0,73.0,48500000.0,180000.0
193041,K. Navas,Keylor Navas,Costa Rica,Spanish Primera División,Real Madrid CF,30,1986-12-15,185.0,78.0,24500000.0,165000.0
192883,H. Mkhitaryan,Henrikh Mkhitaryan,Armenia,English Premier League,Manchester United,28,1989-01-21,177.0,75.0,39000000.0,195000.0
192593,D. Subašić,Danijel Subašić,Croatia,French Ligue 1,AS Monaco,32,1984-10-27,191.0,84.0,22000000.0,46000.0
192563,B. Leno,Bernd Leno,Germany,German Bundesliga,Bayer 04 Leverkusen,25,1992-03-04,190.0,83.0,34000000.0,61000.0
192448,M. ter Stegen,Marc-André ter Stegen,Germany,Spanish Primera División,FC Barcelona,25,1992-04-30,187.0,85.0,35500000.0,155000.0
190547,K. Glik,Kamil Glik,Poland,French Ligue 1,AS Monaco,29,1988-02-03,190.0,80.0,30000000.0,60000.0
189332,Jordi Alba,Jordi Alba Ramos,Spain,Spanish Primera División,FC Barcelona,28,1989-03-21,170.0,68.0,30500000.0,215000.0
186942,I. Gündoğan,İlkay Gündoğan,Germany,English Premier League,Manchester City,26,1990-10-24,180.0,80.0,46000000.0,190000.0
184432,Azpilicueta,César Azpilicueta Tanco,Spain,English Premier League,Chelsea,27,1989-08-28,178.0,78.0,37500000.0,160000.0
183898,A. Di María,Ángel Di María,Argentina,French Ligue 1,Paris Saint-Germain,29,1988-02-14,180.0,75.0,37500000.0,145000.0
180206,M. Pjanić,Miralem Pjanić,Bosnia Herzegovina,Italian Serie A,Juventus,27,1990-04-02,180.0,70.0,43500000.0,160000.0
173210,C. Marchisio,Claudio Marchisio,Italy,Italian Serie A,Juventus,31,1986-01-19,180.0,73.0,33000000.0,160000.0
172871,J. Vertonghen,Jan Vertonghen,Belgium,English Premier League,Tottenham Hotspur,30,1987-04-24,189.0,88.0,28500000.0,130000.0
170890,B. Matuidi,Blaise Matuidi,France,Italian Serie A,Juventus,30,1987-04-09,175.0,70.0,28500000.0,145000.0
167628,S. Ruffier,Stéphane Ruffier,France,French Ligue 1,AS Saint-Étienne,30,1986-09-27,188.0,93.0,24500000.0,49000.0
164169,Filipe Luís,Filipe Luís Kasmirski,Brazil,Spanish Primera División,Atlético Madrid,31,1985-08-09,182.0,73.0,25000000.0,81000.0
139720,V. Kompany,Vincent Kompany,Belgium,English Premier League,Manchester City,31,1986-04-10,193.0,85.0,26000000.0,170000.0
137186,A. Barzagli,Andrea Barzagli,Italy,Italian Serie A,Juventus,36,1981-05-08,187.0,87.0,5000000.0,105000.0
225508,E. Bailly,Eric Bailly,Ivory Coast,English Premier League,Manchester United,23,1994-04-12,187.0,77.0,35500000.0,150000.0
220834,Marco Asensio,Marco Asensio Willemsen,Spain,Spanish Primera División,Real Madrid CF,21,1996-01-21,180.0,75.0,46000000.0,175000.0
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Portugal,English Premier League,Manchester City,22,1994-08-10,173.0,64.0,43500000.0,165000.0
212218,A. Laporte,Aymeric Laporte,France,Spanish Primera División,Athletic Club de Bilbao,23,1994-05-27,189.0,85.0,35500000.0,36000.0
211117,D. Alli,Dele Alli,England,English Premier League,Tottenham Hotspur,21,1996-04-11,188.0,80.0,43000000.0,115000.0
